plantID_OLD,plantID,round,year,month,day,#dalpur_1m,#dalpur_5m,NN_1,NN_2,NN_3,observer,notes,Column 13
B27,27B,6,2018,July,30,0,20,65,110,195,,,
B41,41B,6,2018,July,30,22,25,40,71,130,,,
UB30,30UB,6,2018,July,30,0,2,NA,NA,NA,,,
UB37,37UB,6,2018,July,30,1,1,480,550,570,,,
UB28,28UB,6,2018,July,30,1,4,430,450,550,,,
UB42,42UB,6,2018,July,30,0,0,NA,NA,NA,,,
UB23,23UB,6,2018,July,30,0,0,NA,NA,NA,,,
UB21,21UB,6,2018,July,30,0,1,NA,NA,NA,,,
UB24,24UB,6,2018,July,30,2,3,85,205,595,,,
UB43,43UB,6,2018,July,30,2,1,240,1250,1310,,,
UB15,15UB,6,2018,July,30,0,5,NA,NA,NA,,,
UB13,13UB,6,2018,July,30,2,1,50,110,1095,,,
UB17,17UB,6,2018,July,30,0,0,NA,NA,NA,,,
UB20,20UB,6,2018,July,30,0,1,NA,NA,NA,,,
7B,7B,4,2018,July,23,3,36,20,85,20,,,
8B,8B,4,2018,July,23,8,28,NA,NA,NA,,,
9B,9B,4,2018,July,23,0,60,90,90,128,,,
5B,5B,4,2018,July,23,5,83,25,69,130,,,
32B,32B,4,2018,July,23,0,78,NA,NA,NA,,,
33B,33B,4,2018,July,23,4,78,NA,NA,NA,,,
3B,3B,4,2018,July,23,0,90,120,150,215,,,
12B,12B,4,2018,July,23,0,9,60,72,340,,,
11B,11B,4,2018,July,23,2,44,30,35,80,,,
13B,13B,4,2018,July,23,2,72,45,110,160,,,
14B,14B,4,2018,July,23,0,69,100,130,100,,,
15B,15B,4,2018,July,23,1,42,40,100,145,,,
36B,36B,4,2018,July,23,2,23,NA,NA,NA,,,
34B,34B,4,2018,July,23,0,26,NA,NA,NA,,,
20B,20B,4,2018,July,23,0,41,25,210,200,,,
19B,19B,4,2018,July,23,3,56,NA,NA,NA,,,
35B,35B,4,2018,July,23,0,40,65,195,235,,,
16B,16B,4,2018,July,23,5,107,35,50,55,,,
18B,18B,4,2018,July,23,3,141,NA,NA,NA,,,
17B,17B,4,2018,July,23,5,101,15,35,53,,,
30B,30B,4,2018,July,23,0,13,130,312,322,,,
29B,29B,4,2018,July,23,0,18,90,108,135,,,
28B,28B,4,2018,July,23,0,1,NA,NA,NA,,,
39B,39B,4,2018,July,23,0,3,NA,NA,NA,,,
26B,26B,4,2018,July,23,1,6,23,190,235,,,
38B,38B,4,2018,July,23,6,10,30,48,63,,,
24B,24B,4,2018,July,23,3,12,NA,NA,NA,,,
37B,37B,4,2018,July,23,1,26,54,88,102,,,
23B,23B,4,2018,July,23,0,9,210,242,298,,,
22B,22B,4,2018,July,23,2,31,24,94,100,,,
21B,21B,4,2018,July,23,2,5,41,68,250,,,
25B,25B,4,2018,July,23,0,30,95,96,110,,,
27B,27B,4,2018,July,23,0,36,53,102,142,,,
37UB,37UB,4,2018,July,23,2,49,NA,NA,NA,,,
30UB,30UB,4,2018,July,23,0,35,105,140,200,,,
28UB,28UB,4,2018,July,23,0,66,17,210,207,,,
38UB,38UB,4,2018,July,23,6,86,NA,NA,NA,,,
27UB,27UB,4,2018,July,23,0,40,50,68,90,,,
26UB,26UB,4,2018,July,23,5,24,28,130,200,,,
25UB,25UB,4,2018,July,23,0,31,100,220,410,,,
21B,21B,8,2018,August ,6,0,0,NA,NA,NA,,,
22B,22B,8,2018,August ,6,0,0,NA,NA,NA,,,
25B,25B,8,2018,August ,6,0,0,NA,NA,NA,,,
37B,37B,8,2018,August ,6,0,0,NA,NA,NA,,,
42B,42B,8,2018,August ,6,0,0,140,1570,1030,,,
41B,41B,8,2018,August ,6,0,1,1090,2525,3445,,,
24B,24B,8,2018,August ,6,0,0,NA,NA,NA,,,
23B,23B,8,2018,August ,6,0,0,NA,NA,NA,,,
26B,26B,8,2018,August ,6,0,0,NA,NA,NA,,,
38B,38B,8,2018,August ,6,0,0,NA,NA,NA,,,
28B,28B,8,2018,August ,6,0,0,NA,NA,NA,,,
40B,40B,8,2018,August ,6,0,0,2005,3410,3435,,,
30B,30B,8,2018,August ,6,0,0,NA,NA,NA,,,
29B,29B,8,2018,August ,6,0,0,NA,NA,NA,,,
27B,27B,8,2018,August ,6,0,0,NA,NA,NA,,,
39B,39B,8,2018,August ,6,0,0,NA,NA,NA,,,
15UB,15UB,8,2018,August ,6,0,0,NA,NA,NA,,,
13UB,13UB,8,2018,August ,6,0,0,NA,NA,NA,,,
17UB,17UB,8,2018,August ,6,0,0,NA,NA,NA,,,
19UB,19UB,8,2018,August ,6,0,0,NA,NA,NA,,,
39UB,39UB,8,2018,August ,6,0,0,NA,NA,NA,,,
24UB,24UB,8,2018,August ,6,0,0,NA,NA,NA,,,
21UB,21UB,8,2018,August ,6,0,0,NA,NA,NA,,,
22UB,22UB,8,2018,August ,6,0,0,NA,NA,NA,,,
23UB,23UB,8,2018,August ,6,0,0,NA,NA,NA,,,
42UB,42UB,8,2018,August ,6,0,0,NA,NA,NA,,,
20UB,20UB,8,2018,August ,6,0,0,NA,NA,NA,,,
29UB,29UB,8,2018,August ,6,0,0,NA,NA,NA,,,
27UB,27UB,8,2018,August ,6,0,3,75,80,130,,,
40UB,40UB,8,2018,August ,6,0,7,NA,NA,NA,,,
38UB,38UB,8,2018,August ,6,0,5,100,140,465,,,
41UB,41UB,8,2018,August ,6,0,0,625,625,635,,,
26UB,26UB,8,2018,August ,6,0,11,NA,NA,NA,,,
25UB,25UB,8,2018,August ,6,0,5,NA,NA,NA,,,
37UB,37UB,8,2018,August ,6,0,0,NA,NA,NA,,,
30UB,30UB,8,2018,August ,6,0,0,NA,NA,NA,,,
B44,44B,8,2018,August ,6,0,0,NA,NA,NA,,,
B19,19B,8,2018,August ,6,0,0,NA,NA,NA,,,
B43,43B,8,2018,August ,6,0,0,590,1275,2330,,,
B35,35B,8,2018,August ,6,0,1,NA,NA,NA,,,
B16,16B,8,2018,August ,6,0,4,NA,NA,NA,,,
B18,18B,8,2018,August ,6,0,5,NA,NA,NA,,,
B17,17B,8,2018,August ,6,1,5,NA,NA,NA,,,
B34,34B,8,2018,August ,6,0,6,NA,NA,NA,,,
UB45,45UB,8,2018,August ,6,0,1,NA,NA,NA,,,
UB44,44UB,8,2018,August ,6,0,0,NA,NA,NA,,,
UB36,36UB,8,2018,August ,6,0,2,NA,NA,NA,,,
UB35,35UB,8,2018,August ,6,1,0,NA,NA,NA,,,
UB11,11UB,8,2018,August ,6,0,0,NA,NA,NA,,,
UB12,12UB,8,2018,August ,6,0,0,NA,NA,NA,,,
UB14,14UB,8,2018,August ,6,0,0,NA,NA,NA,,,
UB18,18UB,8,2018,August ,6,0,0,NA,NA,NA,,,
UB28,28UB,8,2018,August ,6,0,0,NA,NA,NA,,,
UB16,16UB,8,2018,August ,6,0,0,NA,NA,NA,,,
UB34,34UB,8,2018,August ,6,0,0,900,3000,3700,,,
UB43,43UB,8,2018,August ,6,0,0,NA,NA,NA,,,
B2,2B,8,2018,August ,6,0,3,NA,NA,NA,,,
B1,1B,8,2018,August ,6,0,3,NA,NA,NA,,,
B31,31B,8,2018,August ,6,0,3,NA,NA,NA,,,
B4,4B,8,2018,August ,6,0,2,NA,NA,NA,,,
B7,7B,8,2018,August ,6,0,0,NA,NA,NA,,,
B8,8B,8,2018,August ,6,0,0,NA,NA,NA,,,
B47,47B,8,2018,August ,6,0,3,NA,NA,NA,,,
B9,9B,8,2018,August ,6,0,0,NA,NA,NA,,,
B3,3B,8,2018,August ,6,0,0,NA,NA,NA,,,
B32,32B,8,2018,August ,6,0,0,NA,NA,NA,,,
B33,33B,8,2018,August ,6,0,0,NA,NA,NA,,,
B5,5B,8,2018,August ,6,0,0,NA,NA,NA,,,
B12,12B,8,2018,August ,6,0,0,NA,NA,NA,,,
B11,11B,8,2018,August ,6,0,0,NA,NA,NA,,,
B13,13B,8,2018,August ,6,0,0,NA,NA,NA,,,
B14,14B,8,2018,August ,6,0,0,NA,NA,NA,,,
B15,15B,8,2018,August ,6,0,0,NA,NA,NA,,,
B45,45B,8,2018,August ,6,0,0,NA,NA,NA,,,
B36,36B,8,2018,August ,6,0,0,1275,1695,3825,,,
B20,20B,8,2018,August ,6,0,0,NA,NA,NA,,,
UB9,9UB,8,2018,August ,6,1,0,NA,NA,NA,,,
UB8,8UB,8,2018,August ,6,0,1,NA,NA,NA,,,
UB46,46UB,8,2018,August ,6,0,1,NA,NA,NA,,,
UB7,7UB,8,2018,August ,6,0,1,NA,NA,NA,,,
UB5,5UB,8,2018,August ,6,0,0,NA,NA,NA,,,
UB4,4UB,8,2018,August ,6,0,0,NA,NA,NA,,,
UB6,6UB,8,2018,August ,6,0,0,NA,NA,NA,,,
UB3,3UB,8,2018,August ,6,0,0,NA,NA,NA,,,
UB2,2UB,8,2018,August ,6,0,0,NA,NA,NA,,,
UB33,33UB,8,2018,August ,6,0,0,NA,NA,NA,,,
UB10,10UB,8,2018,August ,6,0,0,NA,NA,NA,,,
UB47,47UB,8,2018,August ,6,0,0,NA,NA,NA,,,
UB1,1UB,8,2018,August ,6,0,3,NA,NA,NA,,,
UB32,32UB,8,2018,August ,6,0,0,NA,NA,NA,,,
UB31,31UB,8,2018,August ,6,0,0,NA,NA,NA,,,
UB48,48UB,8,2018,August ,6,0,0,NA,NA,NA,,,
B48,48B,8,2018,August ,6,0,1,84,540,670,,,
B10,10B,8,2018,August ,6,0,0,NA,NA,NA,,,
B6,6B,8,2018,August ,6,0,0,NA,NA,NA,,,
B46,46B,8,2018,August ,6,0,1,130,450,540,,,
B34,34B,7,2018,August ,1,0,9,105,235,275,,,
B43,43B,7,2018,August ,1,0,19,160,185,230,,,
B44,44B,7,2018,August ,1,1,25,45,100,175,,,
B20,20B,7,2018,August ,1,3,6,NA,NA,NA,,,
B19,19B,7,2018,August ,1,0,23,NA,NA,NA,,,
B35,35B,7,2018,August ,1,0,22,245,305,340,,,
B16,16B,7,2018,August ,1,14,85,25,30,50,,,
B18,18B,7,2018,August ,1,2,69,NA,NA,NA,,,
B17,17B,7,2018,August ,1,6,47,15,60,65,,,
10B,10B,3,2018,July,21,0,71,60,81,95,,measured in cm,
1B,1B,3,2018,July,21,0,148,104,95,93,,measured in cm,
2B,2B,3,2018,July,21,0,132,61,93,104,,measured in cm,
6B,6B,3,2018,July,21,0,37,114,130,235,,measured in cm,
7B,7B,3,2018,July,21,3,70,30,54,56,,measured in cm,
8B,8B,3,2018,July,21,10,83,34,116,117,,measured in cm,
9B,9B,3,2018,July,21,0,128,112,82,124,,measured in cm,
5B,5B,3,2018,July,21,6,164,34,75,88,,measured in cm,
3B,3B,3,2018,July,21,0,145,132,146,208,,measured in cm,
4B,4B,3,2018,July,21,0,148,54,135,155,,measured in cm,
7UB,7UB,3,2018,July,21,0,111,35,68,120,,measured in cm,
6UB,6UB,3,2018,July,21,0,67,84,81,135,,measured in cm,
3UB,3UB,3,2018,July,21,1,88,45,109,112,,measured in cm,
2UB,2UB,3,2018,July,21,3,56,31,50,58,,measured in cm,
10UB,10UB,3,2018,July,21,0,96,74,101,116,,measured in cm,
1UB,1UB,3,2018,July,21,7,60,30,35,60,,measured in cm,
4UB,4UB,3,2018,July,21,2,57,41,78,95,,measured in cm,
5UB,5UB,3,2018,July,21,1,87,39,85,105,,measured in cm,
8UB,8UB,3,2018,July,21,1,95,60,65,50,,measured in cm,
9UB,9UB,3,2018,July,21,11,81,30,30,23,,measured in cm,
29B,29B,3,2018,July,21,0,18,83,95,185,,measured in m,
30B,30B,3,2018,July,21,0,13,290,365,373,,measured in m,
28B,28B,3,2018,July,21,0,0,572,885,864,,measured in m,
26B,26B,3,2018,July,21,1,6,38,235,332,,measured in m,
24B,24B,3,2018,July,21,2,8,24,36,112,,measured in m,
23B,23B,3,2018,July,21,0,9,189,172,290,,measured in m,
25B,25B,3,2018,July,21,0,32,84,90,112,,measured in m,
22B,22B,3,2018,July,21,2,25,26,83,113,,measured in m,
21B,21B,3,2018,July,21,2,5,48,71,336,,measured in m,
27B,27B,3,2018,July,21,0,31,53,94,141,,measured in m,
24UB,24UB,3,2018,July,21,1,29,47,90,79,,measured in m,
22UB,22UB,3,2018,July,21,0,26,167,183,190,,measured in m,
29UB,29UB,3,2018,July,21,0,39,75,78,88,,measured in m,
28UB,28UB,3,2018,July,21,0,47,171,211,224,,measured in m,
27UB,27UB,3,2018,July,21,1,41,51,96,65,,measured in m,
26UB,26UB,3,2018,July,21,4,17,23,113,115,,measured in m,
25UB,25UB,3,2018,July,21,0,35,225,245,325,,measured in m,
30UB,30UB,3,2018,July,21,0,46,102,150,213,,measured in m;NN2 and NN3 reveresed; corrected 2Mar2019--AR ,
23UB,23UB,3,2018,July,21,0,6,122,245,212,,measured in m,
21UB,21UB,3,2018,July,21,0,16,210,230,13,,measured in m,
UB29,29UB,4,2018,July,23,0,51,780,203,170,,measured in cm,
UB22,22UB,4,2018,July,23,0,52,180,275,310,,measured in cm,
UB24,24UB,4,2018,July,23,0,38,60,85,190,,measured in cm,
UB39,39UB,4,2018,July,23,1,28,25,340,450,,measured in cm,
UB21,21UB,4,2018,July,23,0,17,NA,NA,NA,,measured in cm,
UB23,23UB,4,2018,July,23,0,14,NA,NA,NA,,measured in cm,
UB36,36UB,4,2018,July,23,0,103,63,160,170,,measured in cm,
UB35,35UB,4,2018,July,23,5,23,NA,NA,NA,,measured in cm,
UB11,11UB,4,2018,July,23,4,46,18,120,145,,measured in cm,
UB12,12UB,4,2018,July,23,0,43,NA,NA,NA,,measured in cm,
UB14,14UB,4,2018,July,23,0,24,335,415,475,,measured in cm,
UB18,18UB,4,2018,July,23,0,36,NA,NA,NA,,measured in cm,
UB20,20UB,4,2018,July,23,0,55,NA,NA,NA,,measured in cm,
UB16,16UB,4,2018,July,23,0,33,NA,NA,NA,,measured in cm,
UB34,34UB,4,2018,July,23,0,45,80,84,210,,measured in cm,
UB13,13UB,4,2018,July,23,13,47,NA,NA,NA,,measured in cm,
UB15,15UB,4,2018,July,23,0,41,108,182,152,,need clarification on #dalpur_5m,
UB17,17UB,4,2018,July,23,2,25,50,112,200,,measured in cm,
UB19,19UB,4,2018,July,23,0,2,560,785,830,,measured in cm,
31UB,31UB,4,2018,July,23,0,53,89,132,158,,,
32UB,32UB,4,2018,July,23,1,33,45,79,100,,,
1UB,1UB,4,2018,July,23,6,71,48,66,68,,,
10UB,10UB,4,2018,July,23,0,78,NA,NA,NA,,,
33UB,33UB,4,2018,July,23,8,49,NA,NA,NA,,,
2UB,2UB,4,2018,July,23,2,26,37,58,170,,,
3UB,3UB,4,2018,July,23,0,37,78,96,148,,,
6UB,6UB,4,2018,July,23,2,32,62,148,156,,,
4UB,4UB,4,2018,July,23,3,34,54,74,94,,,
5UB,5UB,4,2018,July,23,1,73,46,88,105,,,
7UB,7UB,4,2018,July,23,0,95,NA,NA,NA,,,
8UB,8UB,4,2018,July,23,6,80,34,52,64,,,
9UB,9UB,4,2018,July,23,8,86,24,31,39,,,
1B,1B,4,2018,July,23,0,138,100,100,110,,,
2B,2B,4,2018,July,23,5,141,40,45,95,,,
6B,6B,4,2018,July,23,0,162,130,140,235,,,
10B,10B,4,2018,July,23,0,195,70,75,90,,value for #dalpur 5m;117 UB flower heads 78 Burned around plant; checked AR 13 February 2019,
31B,31B,4,2018,July,23,10,132,25,35,50,,,
4B,4B,4,2018,July,23,2,120,45,135,159,,,
46B,46B,7,2018,August ,1,0,13,90,110,110,,,
31B,31B,7,2018,August ,1,2,13,55,85,150,,,
6B,6B,7,2018,August ,1,0,1,NA,NA,NA,,,
4B,4B,7,2018,August ,1,1,7,NA,NA,NA,,,
7B,7B,7,2018,August ,1,0,1,NA,NA,NA,,,
8B,8B,7,2018,August ,1,0,1,NA,NA,NA,,,
47B,47B,7,2018,August ,1,0,6,122,125,360,,,
5B,5B,7,2018,August ,1,2,3,NA,NA,NA,,,
9B,9B,7,2018,August ,1,0,6,NA,NA,NA,,,
32B,32B,7,2018,August ,1,0,3,195,380,680,,,
33B,33B,7,2018,August ,1,0,1,195,570,250,,,
3B,3B,7,2018,August ,1,0,1,235,530,680,,,
48B,48B,7,2018,August ,1,1,22,55,85,185,,,
12B,12B,7,2018,August ,1,0,0,NA,NA,NA,,,
11B,11B,7,2018,August ,1,0,3,NA,NA,NA,,,
13B,13B,7,2018,August ,1,1,7,NA,NA,NA,,,
14B,14B,7,2018,August ,1,0,11,90,290,300,,,
15B,15B,7,2018,August ,1,0,9,NA,NA,NA,,,
45B,45B,7,2018,August ,1,2,9,35,130,285,,,
36B,36B,7,2018,August ,1,0,8,245,320,495,,,
9UB,9UB,7,2018,August ,1,6,14,NA,NA,NA,,,
8UB,8UB,7,2018,August ,1,0,14,NA,NA,NA,,,
46UB,46UB,7,2018,August ,1,9,13,NA,NA,NA,,,
7UB,7UB,7,2018,August ,1,0,19,NA,NA,NA,,,
5UB,5UB,7,2018,August ,1,0,14,NA,NA,NA,,,
4UB,4UB,7,2018,August ,1,1,4,NA,NA,NA,,,
6UB,6UB,7,2018,August ,1,0,3,NA,NA,NA,,,
3UB,3UB,7,2018,August ,1,0,4,NA,NA,NA,,,
2UB,2UB,7,2018,August ,1,0,0,NA,NA,NA,,,
33UB,33UB,7,2018,August ,1,0,4,100,285,370,,,
47UB,47UB,7,2018,August ,1,0,4,120,400,410,,,
10UB,10UB,7,2018,August ,1,0,9,NA,NA,NA,,,
1UB,1UB,7,2018,August ,1,6,4,NA,NA,NA,,,
32UB,32UB,7,2018,August ,1,0,4,60,213,380,,,
31UB,31UB,7,2018,August ,1,0,6,NA,NA,NA,,,
48UB,48UB,7,2018,August ,1,0,13,260,440,650,,,
10B,10B,7,2018,August ,1,0,27,NA,NA,NA,,value for #dalpur 5m; 19 burned flower head and 6 unburned flower heads; AR checked 13 Feb 2019 ,
1B,1B,7,2018,August ,1,0,11,NA,NA,NA,,,
2B,2B,7,2018,August ,1,0,13,NA,NA,NA,,,
30B,30B,7,2018,August ,1,0,3,205,290,495,,,
29B,29B,7,2018,August ,1,0,3,65,290,470,,,
40B,40B,7,2018,August ,1,0,4,55,520,695,,,
39B,39B,7,2018,August ,1,1,5,40,150,300,,,
28B,28B,7,2018,August ,1,0,4,NA,NA,NA,,,
26B,26B,7,2018,August ,1,0,9,305,365,400,,,
27B,27B,7,2018,August ,1,0,10,135,175,330,,,
38B,38B,7,2018,August ,1,8,10,30,30,45,,,
24B,24B,7,2018,August ,1,1,0,NA,NA,NA,,,
42B,42B,7,2018,August ,1,0,0,870,885,890,,,
41B,41B,7,2018,August ,1,5,18,30,60,60,,,
37B,37B,7,2018,August ,1,0,3,NA,NA,NA,,,
25B,25B,7,2018,August ,1,0,4,NA,NA,NA,,,
22B,22B,7,2018,August ,1,1,2,NA,NA,NA,,,
4B,4B,7,2018,August ,1,0,0,NA,NA,NA,,,
23B,23B,7,2018,August ,1,0,0,585,625,970,,,
UB30,30UB,7,2018,August ,1,0,1,NA,NA,NA,,,
UB37,37UB,7,2018,August ,1,0,0,620,635,680,,,
UB38,38UB,7,2018,August ,1,1,10,35,60,85,,,
UB40,40UB,7,2018,August ,1,0,28,285,300,325,,,
UB27,27UB,7,2018,August ,1,0,18,80,275,295,,,
UB26,26UB,7,2018,August ,1,0,3,NA,NA,NA,,,
UB25,25UB,7,2018,August ,1,0,8,165,335,375,,,
UB41,41UB,7,2018,August ,1,0,10,165,210,270,,,
UB28,28UB,7,2018,August ,1,0,0,NA,NA,NA,,,
UB42,42UB,7,2018,August ,1,0,0,NA,NA,NA,,,
UB23,23UB,7,2018,August ,1,0,0,NA,NA,NA,,,
UB21,21UB,7,2018,August ,1,0,0,NA,NA,NA,,,
UB24,24UB,7,2018,August ,1,0,0,NA,NA,NA,,,
UB22,22UB,7,2018,August ,1,0,0,NA,NA,NA,,,
UB39,39UB,7,2018,August ,1,0,0,1055,1645,1740,,,
UB29,29UB,7,2018,August ,1,0,0,635,935,1055,,,
UB44,44UB,7,2018,August ,1,0,0,520,645,720,,,
UB45,45UB,7,2018,August ,1,0,1,465,720,815,,,
UB36,36UB,7,2018,August ,1,0,12,175,280,310,,,
UB19,19UB,7,2018,August ,1,0,0,890,1365,1435,,,
UB15,15UB,7,2018,August ,1,0,7,NA,NA,NA,,,
UB13,13UB,7,2018,August ,1,0,4,NA,NA,NA,,,
UB17,17UB,7,2018,August ,1,0,0,NA,NA,NA,,,
UB34,34UB,7,2018,August ,1,0,4,310,345,530,,,
UB16,16UB,7,2018,August ,1,0,4,NA,NA,NA,,,
UB18,18UB,7,2018,August ,1,0,1,NA,NA,NA,,,
UB20,20UB,7,2018,August ,1,0,1,NA,NA,NA,,,
UB14,14UB,7,2018,August ,1,0,0,660,865,920,,,
UB43,43UB,7,2018,August ,1,0,0,645,1275,1290,,,
UB12,12UB,7,2018,August ,1,0,0,NA,NA,NA,,,
UB11,11UB,7,2018,August ,1,0,5,NA,NA,NA,,,
UB35,35UB,7,2018,August ,1,0,2,NA,NA,NA,,,
UB9,9UB,9,2018,August ,10,0,1,NA,NA,NA,,,
UB8,8UB,9,2018,August ,10,1,0,NA,NA,NA,,,
UB46,46UB,9,2018,August ,10,0,1,NA,NA,NA,,,
UB7,7UB,9,2018,August ,10,0,1,NA,NA,NA,,,
UB5,5UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB6,6UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB3,3UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB2,2UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB10,10UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB33,33UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB47,47UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB1,1UB,9,2018,August ,10,0,1,NA,NA,NA,,,
UB32,32UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB48,48UB,9,2018,August ,10,0,1,NA,NA,NA,,,
UB4,4UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB31,31UB,9,2018,August ,10,0,0,NA,NA,NA,,,
B10,10B,9,2018,August ,10,0,2,NA,NA,NA,,,
B6,6B,9,2018,August ,10,0,0,NA,NA,NA,,,
B1,1B,9,2018,August ,10,0,2,NA,NA,NA,,,
B45,45B,9,2018,August ,10,0,0,NA,NA,NA,,,
UB43,43UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB13,13UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB17,17UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB29,29UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB22,22UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB39,39UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB24,24UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB21,21UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB23,23UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB42,42UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB28,28UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB30,30UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB37,37UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB38,38UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB40,40UB,9,2018,August ,10,0,4,NA,NA,NA,,,
UB27,27UB,9,2018,August ,10,0,4,NA,NA,NA,,,
UB26,26UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB41,41UB,9,2018,August ,10,0,0,610,>5000,>5000,,,
UB25,25UB,9,2018,August ,10,0,0,NA,NA,NA,,,
B43,43B,9,2018,August ,10,0,0,NA,NA,NA,,,
B44,44B,9,2018,August ,10,0,0,NA,NA,NA,,,
B19,19B,9,2018,August ,10,0,0,NA,NA,NA,,,
B35,35B,9,2018,August ,10,0,0,NA,NA,NA,,,
B16,16B,9,2018,August ,10,0,0,NA,NA,NA,,,
B18,18B,9,2018,August ,10,0,0,NA,NA,NA,,,
B17,17B,9,2018,August ,10,0,0,NA,NA,NA,,,
B15,15B,9,2018,August ,10,0,0,NA,NA,NA,,,
UB44,44UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB45,45UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB36,36UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB19,19UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB35,35UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB11,11UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB12,12UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB14,14UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB18,18UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB20,20UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB16,16UB,9,2018,August ,10,0,0,NA,NA,NA,,,
UB34,34UB,9,2018,August ,10,0,0,NA,NA,NA,,,
B31,31B,9,2018,August ,10,0,2,NA,NA,NA,,,
B2,2B,9,2018,August ,10,0,2,NA,NA,NA,,,
B46,46B,9,2018,August ,10,0,0,965,>5000,>5000,,,
B4,4B,9,2018,August ,10,0,2,NA,NA,NA,,,
B7,7B,9,2018,August ,10,0,0,NA,NA,NA,,,
B8,8B,9,2018,August ,10,0,0,NA,NA,NA,,,
B47,47B,9,2018,August ,10,0,0,NA,NA,NA,,,
B9,9B,9,2018,August ,10,0,0,NA,NA,NA,,,
B3,3B,9,2018,August ,10,0,0,NA,NA,NA,,,
B5,5B,9,2018,August ,10,0,0,NA,NA,NA,,,
B32,32B,9,2018,August ,10,0,0,NA,NA,NA,,,
B33,33B,9,2018,August ,10,0,0,NA,NA,NA,,,
B12,12B,9,2018,August ,10,0,0,NA,NA,NA,,,
